,Tesla,Nio,Rivian,Lucid Motors,Ford,General Motors,Interest Rate,CCI,Oil Prices,CPI
2022-09-28,287.80999755859375,17.329999923706055,35.08000183105469,15.220000267028809,10.333564758300781,34.5185661315918,1.20424868,108.0,81.71,7.72921604833856
2022-09-29,268.2099914550781,15.579999923706055,32.310001373291016,14.1899995803833,9.731195449829102,32.569854736328125,1.20424868,108.0,81.69,7.72921604833856
2022-09-30,265.25,15.770000457763672,32.90999984741211,13.970000267028809,9.502126693725586,31.424135208129883,1.20424868,108.0,79.49,7.72921604833856
2022-10-03,242.39999389648438,15.489999771118164,31.889999389648438,14.09000015258789,9.731195449829102,32.18794631958008,1.79733203,102.5,83.35,6.69366641779918
2022-10-04,249.44000244140625,16.729999542236328,36.29999923706055,15.399999618530273,10.486274719238281,35.05715560913086,1.79733203,102.5,86.47,6.69366641779918
2022-10-05,240.80999755859375,16.040000915527344,36.130001068115234,14.989999771118164,10.613536834716797,34.117069244384766,1.79733203,102.5,88.16,6.69366641779918
2022-10-06,238.1300048828125,14.770000457763672,36.7599983215332,14.40999984741211,10.486274719238281,33.911434173583984,1.79733203,102.5,88.87,6.69366641779918
2022-10-07,223.07000732421875,13.760000228881836,33.95000076293945,13.170000076293945,10.350529670715332,32.92238235473633,1.79733203,102.5,92.64,6.69366641779918
2022-10-10,222.9600067138672,13.279999732971191,31.479999542236328,12.479999542236328,9.637871742248535,31.61998748779297,1.79733203,102.5,90.86,6.69366641779918
2022-10-11,216.5,12.829999923706055,32.33000183105469,12.649999618530273,9.807552337646484,31.424135208129883,1.79733203,102.5,88.64,6.69366641779918
2022-10-12,217.24000549316406,12.880000114440918,32.349998474121094,13.09000015258789,9.7905855178833,31.531856536865234,1.79733203,102.5,87.22,6.69366641779918
2022-10-13,221.72000122070312,12.779999732971191,32.5,13.010000228881836,9.9857177734375,32.08023452758789,1.79733203,102.5,89.04,6.69366641779918
2022-10-14,204.99000549316406,11.75,28.709999084472656,11.890000343322754,9.90087604522705,32.20753479003906,1.79733203,102.5,85.61,6.69366641779918
2022-10-17,219.35000610351562,12.210000038146973,30.700000762939453,12.40999984741211,10.036620140075684,32.87342834472656,1.79733203,102.5,85.96,6.69366641779918
2022-10-18,220.19000244140625,12.210000038146973,31.639999389648438,13.010000228881836,10.20630168914795,33.5393180847168,1.79733203,102.5,83.75,6.69366641779918
2022-10-19,222.0399932861328,10.920000076293945,31.5,12.640000343322754,10.291142463684082,32.93218231201172,1.79733203,102.5,85.98,6.69366641779918
2022-10-20,207.27999877929688,10.970000267028809,30.729999542236328,12.600000381469727,9.9857177734375,32.74612045288086,1.79733203,102.5,85.98,6.69366641779918
2022-10-21,214.44000244140625,11.210000038146973,31.920000076293945,13.3100004196167,10.342045783996582,34.27375793457031,1.79733203,102.5,85.05,6.69366641779918
2022-10-24,211.25,9.449999809265137,31.34000015258789,12.800000190734863,10.58808422088623,34.97881317138672,1.79733203,102.5,84.92,6.69366641779918
